998 10
2 1 8745
3 2 5423
4 2 7062
5 3 4306
6 4 518
7 3 9989
8 6 5633
9 6 8846
10 1 7894
11 8 5495
12 11 3233
13 12 9908
14 9 9328
15 6 215
16 14 5702
17 6 7490
18 14 8519
19 14 9982
20 8 4015
21 12 379
22 20 5728
23 17 9491
24 8 9210
25 24 9011
26 25 7577
27 5 8387
28 17 1987
29 14 2050
30 26 9815
31 15 5629
32 13 2110
33 20 9693
34 9 3392
35 21 4311
36 22 9922
37 9 8239
38 33 3742
39 29 1884
40 18 6281
41 15 6476
42 20 9223
43 8 5823
44 43 6945
45 22 8900
46 27 6916
47 41 937
48 6 7323
49 6 8311
50 14 8651
51 50 1186
52 31 9427
53 30 6807
54 28 4562
55 8 2876
56 48 6651
57 53 1211
58 12 6495
59 25 4907
60 15 445
61 56 1704
62 21 192
63 54 1891
64 24 4650
65 10 6659
66 15 4529
67 37 9457
68 31 1172
69 66 86
70 64 1354
71 15 1970
72 50 6128
73 60 5966
74 64 5133
75 30 1488
76 72 9005
77 39 5444
78 42 3028
79 6 1293
80 69 8162
81 23 3530
82 70 3332
83 30 3990
84 60 2770
85 56 232
86 81 9763
87 3 462
88 22 7950
89 36 4665
90 8 5189
91 22 4583
92 46 9831
93 21 6402
94 34 4570
95 91 1763
96 43 1123
97 96 7751
98 70 6734
99 65 2524
100 30 112
101 72 7153
102 4 1877
103 72 1603
104 53 4835
105 47 8475
106 49 8926
107 38 609
108 3 3560
109 74 5871
110 34 8001
111 27 1898
112 56 9988
113 44 8887
114 31 3470
115 81 9791
116 13 9877
117 54 2939
118 95 7265
119 72 2195
120 69 1019
121 25 5529
122 27 5572
123 20 5068
124 4 45
125 103 5058
126 107 9921
127 48 146
128 118 9297
129 18 6665
130 108 7932
131 10 682
132 118 6015
133 96 600
134 7 6202
135 123 3010
136 6 5564
137 52 4952
138 53 1942
139 53 6088
140 94 3567
141 25 5705
142 68 9052
143 36 6015
144 36 286
145 135 4418
146 133 5769
147 62 405
148 37 5610
149 59 100
150 55 1314
151 139 6850
152 110 5867
153 88 3179
154 27 854
155 111 854
156 82 7782
157 131 406
158 125 6739
159 122 5824
160 1 3045
161 61 1162
162 143 7670
163 45 2951
164 147 4746
165 119 8982
166 35 4741
167 150 1611
168 41 6317
169 64 3665
170 39 9769
171 146 207
172 45 7166
173 49 976
174 80 4983
175 132 2193
176 157 364
177 14 3321
178 117 5029
179 60 5832
180 63 1384
181 97 4216
182 76 4233
183 93 445
184 14 146
185 157 7750
186 2 7663
187 22 2295
188 35 2858
189 187 4959
190 187 9645
191 34 9132
192 24 7411
193 137 4748
194 57 1252
195 63 5271
196 75 3472
197 181 6463
198 6 3462
199 190 3610
200 194 9583
201 87 7362
202 152 8140
203 201 5070
204 10 2105
205 199 7122
206 191 4585
207 149 934
208 110 1149
209 163 5348
210 56 8817
211 30 6683
212 49 7097
213 104 585
214 92 4498
215 8 3919
216 167 4005
217 84 7788
218 83 5700
219 133 9959
220 163 653
221 163 1022
222 24 3324
223 47 3259
224 80 7504
225 151 9027
226 30 4932
227 55 4850
228 162 5812
229 92 2853
230 187 2034
231 140 4075
232 173 2542
233 102 2282
234 45 9895
235 100 4550
236 115 7995
237 23 2400
238 82 417
239 144 3008
240 25 5800
241 230 7584
242 44 7547
243 180 8048
244 48 6231
245 217 4079
246 7 4816
247 170 9731
248 106 7433
249 172 3632
250 184 6663
251 212 1746
252 161 1543
253 179 5690
254 92 9691
255 103 5120
256 200 5436
257 32 1054
258 72 8902
259 43 2042
260 69 8954
261 58 2880
262 188 7277
263 39 2490
264 36 5350
265 75 8876
266 212 4368
267 186 3427
268 184 9229
269 227 3646
270 161 7049
271 55 7604
272 234 7272
273 101 6011
274 262 1047
275 47 818
276 124 5984
277 159 3024
278 253 7316
279 186 461
280 38 8215
281 172 5738
282 245 1613
283 152 4468
284 56 9363
285 160 4253
286 94 9350
287 94 6597
288 188 2878
289 108 7984
290 80 1889
291 24 8029
292 257 78
293 170 2380
294 271 2749
295 229 4707
296 161 1823
297 16 1084
298 93 7916
299 226 4079
300 224 5383
301 201 3773
302 25 5061
303 151 4216
304 25 5341
305 152 2057
306 144 7337
307 118 3202
308 124 4024
309 292 9818
310 156 5523
311 148 8419
312 38 412
313 164 6736
314 54 2441
315 192 6170
316 241 8121
317 187 3803
318 154 6408
319 301 7032
320 269 3262
321 40 3680
322 230 2439
323 103 8158
324 310 2598
325 54 8270
326 323 8353
327 262 9023
328 132 4534
329 317 4949
330 129 5451
331 211 3578
332 283 3061
333 107 5102
334 299 3227
335 203 7933
336 186 6934
337 320 8479
338 7 8372
339 3 1182
340 162 9580
341 278 9677
342 297 2687
343 245 2644
344 274 6572
345 334 9388
346 33 8304
347 218 2965
348 265 4867
349 32 1026
350 311 4400
351 257 5609
352 226 3568
353 243 440
354 166 5014
355 168 9217
356 306 8157
357 48 6538
358 223 987
359 327 9924
360 143 1853
361 293 9731
362 52 4213
363 6 6662
364 4 4677
365 27 6488
366 152 4453
367 197 8765
368 227 3876
369 120 4839
370 75 8580
371 202 4079
372 8 1819
373 236 3976
374 302 1082
375 76 597
376 358 7734
377 316 8663
378 89 7400
379 170 9601
380 298 6374
381 280 7046
382 22 8852
383 15 9687
384 19 3847
385 245 2306
386 324 1761
387 192 9845
388 205 138
389 58 3325
390 176 2536
391 283 7641
392 207 6011
393 126 6419
394 391 8943
395 328 9808
396 195 8943
397 268 7304
398 97 2591
399 102 239
400 180 3753
401 192 2328
402 197 5024
403 11 8369
404 139 3828
405 365 940
